,date,country,local_price,USA_price,relation,units_per_usd,1_minus_difference,evaluation,price_in_usd
0,2018-07-31,Brazil,16.9,5.51,3.0671506352087112,3.7494474016000003,0.18197261977861934,undervalued,4.507330865019807
1,2018-07-31,Canada,6.65,5.51,1.2068965517241381,1.30139347,0.07261210422076414,undervalued,5.109907305743589
2,2018-07-31,China,20.5,5.51,3.720508166969147,6.8154781717,0.45410900405816534,undervalued,3.0078593876395088
3,2018-07-31,Israel,17.0,5.51,3.0852994555353903,3.6720985187,0.15979937906795294,undervalued,4.62950542133558
4,2018-07-31,Japan,390.0,5.51,70.78039927404718,111.88470931190001,0.36738094321062864,undervalued,3.4857310029094366
5,2018-07-31,New Zealand,6.2,5.51,1.1252268602540836,1.4680938422999998,0.23354568500114492,undervalued,4.223163275643691
6,2018-07-31,Poland,10.1,5.51,1.8330308529945554,3.6534041213,0.49826769989455655,undervalued,2.764544973580993
7,2018-07-31,Russia,130.0,5.51,23.593466424682397,62.350473551099995,0.6215992424605064,undervalued,2.0849881740426097
8,2018-07-31,South Afrika,31.0,5.51,5.626134301270418,13.093571246300002,0.5703132326972858,undervalued,2.367574087837955
9,2018-07-31,South Korea,4500.0,5.51,816.6969147005445,1113.2739944171,0.2664007972914525,undervalued,4.042131606924096
10,2018-07-31,Switzerland,6.5,5.51,1.1796733212341197,0.9893909294,-0.19232275754692174,overvalued,6.569698394083539
11,2018-07-31,UAE,14.0,5.51,2.540834845735027,3.6725,0.30814571933695645,undervalued,3.8121170864533696
12,2018-07-31,Vietnam,65000.0,5.51,11796.733212341198,23231.5193331671,0.4922099995629956,undervalued,2.7979229024078944
